filename,Safety,Belonging,Naturalness,Shared,Privacy,Convenience,concept_text
img_0000.jpg,4,3,4,3,3,4,Tranquil courtyard of columns
img_0001.jpg,4,3,4,3,4,4,Monumental stairway passage
img_0002.jpg,5,3,4,2,4,4,Modern courtyard retreat
img_0003.jpg,4,3,3,4,3,4,Atrium gathering under olive trees
img_0004.jpg,3,2,4,2,4,3,Secluded hillside retreat
img_0005.jpg,4,3,3,4,3,4,Modern agora living
img_0006.jpg,5,4,3,4,2,5,Arcade entrance to community space
img_0007.jpg,4,3,2,5,2,5,Agora-inspired gathering space
img_0008.jpg,4,3,2,3,2,4,Athenian skyline reflection
img_0009.jpg,5,3,2,4,3,5,Acropolis view skyline
img_0010.jpg,4,3,2,4,2,4,Agora-inspired glass facade
img_0011.jpg,4,3,3,4,2,4,Agora of glass and light
img_0012.jpg,4,3,2,4,2,5,Archway of Athenian Elegance
img_0013.jpg,4,3,2,4,3,4,Agora-inspired reading alcove
img_0014.jpg,5,4,5,4,3,4,Community courtyard under olive trees
img_0015.jpg,4,4,5,4,3,4,Harmonious village retreat
img_0016.jpg,4,3,2,4,2,4,Agora of modernity
img_0017.jpg,4,3,2,5,2,4,Open agora passage
img_0018.jpg,4,3,5,3,4,4,Tranquil courtyard vista
img_0019.jpg,4,4,4,3,4,4,Tranquil courtyard dwelling
img_0020.jpg,5,3,2,4,3,5,Agora-inspired community hub
img_0021.jpg,5,3,2,2,4,4,Minimalist urban sanctuary
img_0022.jpg,5,3,2,4,3,5,Agora-inspired urban corner
img_0023.jpg,4,3,2,3,4,4,Urban colonnade passage
img_0024.jpg,4,3,3,4,2,4,Modern agora with panoramic views
img_0025.jpg,3,4,4,4,2,4,Aquatic oasis under the Aegean sun
img_0026.jpg,4,3,2,3,3,4,Modern Acropolis in the Sky
img_0027.jpg,4,3,3,3,4,4,Modern acropolis rising
img_0028.jpg,4,3,2,5,2,4,Agora of modern community
img_0029.jpg,4,4,3,5,2,4,Agora-inspired open steps
img_0030.jpg,4,3,3,4,3,4,Modern agora entrance
img_0031.jpg,4,3,3,4,2,4,Agora-inspired workspace
img_0032.jpg,4,3,4,3,3,4,Atrium of olive groves
img_0033.jpg,4,3,4,2,4,3,Tranquil courtyard retreat
img_0034.jpg,4,3,4,4,2,4,Open agora beneath the sun
img_0035.jpg,4,3,5,4,2,4,Open-air atrium of light
img_0036.jpg,4,4,5,3,3,4,Cedar sanctuary by the hills
img_0037.jpg,4,3,4,2,4,3,Sunlit wooden retreat
img_0038.jpg,4,3,4,4,3,3,Modern agora amidst nature
img_0039.jpg,4,3,5,3,3,4,Green courtyard vista
img_0040.jpg,4,4,3,4,3,4,Courtyard symposium
